order_id,payment_sequential,payment_type,installments,payment_value,payment_status
Axfy13Hk4PIk,1,credit_card,1,259.14,paid
v6px92oS8cLG,1,credit_card,8,382.39,paid
Ulpf9skrhjfm,1,credit_card,4,249.25,paid
bwJVWupf2keN,1,credit_card,2,27.79,paid
Dd0QnrMk9Cj5,1,credit_card,1,76.15,paid
VjTVGzqe8U6R,1,credit_card,4,1014.75,paid
xNba906m4TM1,1,credit_card,1,123.79,paid
VEDSMTavbQwk,1,credit_card,5,146.51,paid
DzNM8wrcMGFH,1,wallet,1,1521.75,paid
NpJz7zF9U1ae,1,credit_card,6,87.3,paid
mHyhzcUeLGj2,1,credit_card,2,947.72,paid
StM5K4TLyrt5,1,credit_card,1,60.56,paid
Q97dFuo1kaq9,1,credit_card,10,110.32,paid
07j6mlMhSVtx,1,credit_card,3,818.35,paid
kxa1InBj9gwP,1,credit_card,1,254.94,paid
P5R6jr1qZdh4,1,credit_card,10,98.42,paid
HqV5f8K2UYoA,1,credit_card,3,281.52,paid
j5rwgECNf14O,1,credit_card,2,182.83,paid
43It0OEHVyJe,1,credit_card,1,38.35,paid
ddXx4T93MeaI,1,credit_card,2,107.01,paid
NXDsEGbl1pUC,1,credit_card,8,376.61,paid
MhDudBaAab78,1,wallet,1,298.17,paid
XupzjrovQeez,1,wallet,1,163.1,paid
YTztQOHlvuBg,8,voucher,1,120.04,paid
xfXLgLbCo5BC,2,credit_card,1,166.71,paid
gVMP1bPDg69L,1,wallet,1,97.19,paid
9G9EHbafs7NW,1,credit_card,1,966.48,paid
INolFarYfmEO,1,credit_card,3,50.88,paid
LV0vJIDricq1,1,wallet,1,27.16,paid
VtQvdStc00Xd,1,wallet,1,113.84,paid
tOTdnjpI8Udp,1,credit_card,6,283.61,paid
ebR5efLCCpiq,1,credit_card,1,242.59,paid
YOKYMSjKRCMN,1,credit_card,8,580.07,paid
57XZHymoJ10l,1,credit_card,1,38.51,paid
yUz40ih0jYGt,1,credit_card,1,212.78,paid
IeZYtitws7WU,1,credit_card,2,279.54,paid
ZPkh9QhjG7SK,1,wallet,1,211.11,paid
KJL5uJuZzKxr,1,wallet,1,192.92,paid
SelY2hgVvruM,1,wallet,1,416.64,paid
0QqNX4xLriht,2,voucher,1,1843.85,paid
HNXQI2lmI4AR,1,wallet,1,247.64,paid
C21fWds5zL0W,1,credit_card,7,107.82,paid
00NEIdaOTIgn,1,voucher,1,137.01,paid
XprtHqpLEddw,1,credit_card,3,358.53,paid
ph9ImXx6aMjl,1,voucher,1,98.89,paid
x0fzGpICAZ0w,1,credit_card,3,29.22,paid
YUX432Je58GK,1,credit_card,1,203.99,paid
C3u0OwYQ8nuP,1,credit_card,1,203.19,paid
UaZKqhLFwRZP,1,credit_card,3,167.37,paid
QOaNjVewOOTX,1,credit_card,1,44.82,paid
lo8oje94TYb7,1,wallet,1,231.27,paid
O5bLel2qV1yT,1,debit_card,1,27.71,paid
3ffaVBUrnCxy,1,wallet,1,250.26,paid
8g4jF6hPD6tG,1,credit_card,1,395.46,paid
IBT786JmVIAa,1,credit_card,10,5.28,paid
Rd6Tke4v8afv,1,credit_card,1,97.89,paid
NnoGZNF5rNkD,1,wallet,1,573.56,paid
gZMKyNzWXvcQ,1,voucher,1,457.86,paid
qcDbJ8F0FIjM,1,credit_card,10,90.11,paid
hyJjgFRI44lc,1,wallet,1,112.49,paid
EfyYNfniuxQP,1,credit_card,3,29.68,paid
0MQGlO2eQrNG,1,credit_card,1,228.29,paid
zb8Qfa2K9ynp,1,wallet,1,244.85,paid
LLWFihCYlP6a,1,credit_card,6,63.38,paid
PBvPGqQxwFDV,1,credit_card,9,386.32,paid
OQHE8Ve7n811,1,credit_card,4,273.32,paid
Vtkwb0b4JxKg,1,wallet,1,712.65,paid
4qLswBjaDZnT,1,wallet,1,47.48,paid
XXzZNogGt47r,1,credit_card,6,234.19,paid
Pp9bMvTIgPDs,1,credit_card,8,61.34,paid
zh6skhlWLDTv,1,credit_card,6,913.13,paid
z9Zr742C0ASe,1,credit_card,1,214.88,paid
AayA35wXEdbB,1,credit_card,3,112.87,paid
kuyUMcYHFGqn,1,credit_card,3,133.3,paid
efc3TQanhsCE,1,credit_card,1,52.37,paid
vFUriN4pz2Bi,1,credit_card,6,269.12,paid
1CVQ66HlMRUR,1,wallet,1,419.44,paid
jJgDALmwe6f6,1,wallet,1,31.6,paid
n8p0M8Vco4SQ,1,credit_card,9,1.14,paid
pNSYSUcXxkhB,1,credit_card,2,178.38,paid
9AWAHq3HWS6u,1,credit_card,10,208.59,paid
DlmtCXqKjfWj,1,wallet,1,261.95,paid
KqH0sXMHdItQ,1,credit_card,1,17.22,paid
OiIetUyiPLHG,1,credit_card,1,115.82,paid
1pgvtCG93rNg,1,credit_card,10,213.19,paid
qJHIiWyTAizV,1,credit_card,3,127.37,paid
vSug5AqRo9gE,1,wallet,1,310.2,paid
cuAQQZUhTEwb,1,credit_card,10,278.41,paid
yYk586LcCRYw,1,credit_card,2,173.29,paid
2HQ26ShSPhCA,6,voucher,1,81.16,paid
iWJeaLiduq7C,3,voucher,1,353.45,paid
1vz8w7BjKsWC,1,credit_card,1,38.76,paid
h8KEpd8n4gLL,1,credit_card,3,972.48,paid
PC71lF6z451l,1,wallet,1,41.98,paid
TySAT9hqufKc,1,credit_card,4,0.48,paid
Y72RuFd0mZnO,1,credit_card,3,90.89,paid
JQnDQBQZYwWs,1,credit_card,1,1.51,paid
qcXjhr3DZYmI,1,credit_card,1,56.79,paid
3SQKKPbTrStx,1,credit_card,2,108.67,paid
IKSlI8m4cXvg,1,credit_card,1,92.44,paid
ubzoVELLkeoU,1,credit_card,2,11.78,paid
FfjA9YfQ045p,1,wallet,1,106.87,paid
pHtHYRoip8Cl,2,voucher,1,206.07,paid
yGQcdep9edOe,2,voucher,1,145.48,paid
O2vxSz1Ohmit,1,wallet,1,1635.51,paid
CEHnEFl5VOdj,1,credit_card,2,1334.28,paid
JYzOn3Ha1rNQ,1,credit_card,3,238.24,paid
YjpdVhpi6ke5,1,wallet,1,589.2,paid
xmCgQrZviQ4N,1,credit_card,3,215.54,paid
DWf9VC5hYd07,1,credit_card,10,197.59,paid
gMRkjz3CrUnd,1,credit_card,3,317.95,paid
1sBsJeYdxAI1,1,credit_card,1,1300.57,paid
6NKIoWu3AOZS,1,credit_card,1,26.1,paid
fQ58lYglAHz2,1,credit_card,4,88.49,paid
0Eab4qSWCSyh,1,credit_card,3,1301.01,paid
RCsCygUAyk50,1,credit_card,2,417.83,paid
POj27FIujdqj,1,credit_card,1,99.9,paid
lTxzZyJHvbIZ,1,wallet,1,33.88,paid
PbW1A2IELHIL,1,wallet,1,93.31,paid
RYBegQzM81NV,1,wallet,1,233.0,paid
uIMjdIbbLKuf,1,credit_card,7,34.84,paid
jj4qFCWCsUSC,1,wallet,1,120.73,paid
JBctb1NlmsLO,1,credit_card,3,5.73,paid
V98wyh8HaJrC,1,credit_card,7,328.5,paid
F7SlozxlB98i,1,credit_card,3,383.82,paid
M9UeVfUqd5IQ,1,credit_card,10,271.31,paid
XfRzUdQ4vXDb,1,credit_card,1,1549.41,paid
KZdbnccspG6C,1,credit_card,9,142.23,paid
aK8BUDSAUnAJ,1,credit_card,4,191.4,paid
hdpKYesvGZeq,1,wallet,1,223.58,paid
5jALvFXzAkdi,1,credit_card,2,50.06,paid
RilBPuEjhaeQ,1,credit_card,3,273.96,paid
Weun8cqlOfrB,1,wallet,1,316.76,paid
1By8LOosrvF2,1,wallet,1,197.91,paid
8XJCljLJRlic,1,credit_card,2,257.5,paid
gQPaVIZUm0jj,2,voucher,1,163.33,paid
k2K9LcU3wvcQ,1,credit_card,2,150.14,paid
XQuhwBeGcadT,1,wallet,1,28.64,paid
LARRQkCjz5Fs,1,credit_card,7,150.98,paid
70G4cTVwm38h,1,wallet,1,228.11,paid
8LfYKHvDTqIN,1,credit_card,10,37.45,paid
D2X7rxN9EsBw,1,credit_card,4,96.86,paid
HOFJukOFU41j,2,credit_card,2,54.62,paid
uApWp6b4k8Y5,1,credit_card,1,59.22,paid
7L8qUUgsbhXY,1,credit_card,2,209.81,paid
PvRgo7CeEN4f,1,credit_card,10,638.55,paid
aDxB5SgA7C4q,1,credit_card,3,0.33,paid
AHI2VGgmwKwA,1,wallet,1,208.07,paid
0gxtU32XLhDR,1,credit_card,3,1.22,paid
NqkFWmoEkOni,1,credit_card,6,303.46,paid
uT2NLXe4uIbX,1,credit_card,2,85.52,paid
csNKQHT4LjSP,1,wallet,1,96.64,paid
ff6LV2J7cd1m,1,wallet,1,451.23,paid
2DhVqmEuKWsy,2,voucher,1,333.6,paid
VBLoTukvL7qH,1,credit_card,3,116.6,paid
Xz9xN4y9ehaz,1,wallet,1,123.57,paid
ME2UeeIZeHQQ,1,credit_card,1,217.37,paid
Y8qzXFVs2NdT,1,credit_card,3,138.65,paid
O9usX12ihwJ4,1,wallet,1,284.81,paid
UnPOaR1OCnNc,1,credit_card,1,408.66,paid
BERp5cg4oEws,1,credit_card,5,231.76,paid
BtFtgxewQU3o,1,credit_card,1,32.64,paid
KZQpsmctCSfS,1,credit_card,3,111.66,unpaid
g9qI3z1YAvNw,1,credit_card,1,606.48,paid
aMzeNC1KCVOQ,1,credit_card,2,1148.75,paid
dZuZBawSN57o,1,credit_card,5,183.4,paid
nKbHlRgVGlF3,1,credit_card,8,236.92,paid
P09ArFA0BZRP,1,wallet,1,343.54,paid
XbYUfEsyagnN,1,voucher,1,419.44,paid
mofZTSTPPWxE,1,credit_card,2,41.15,paid
rUQbmLj5M2QE,1,credit_card,1,114.79,paid
QFwMop3sFZ9H,1,credit_card,4,113.71,paid
hYDthrOpadOc,1,credit_card,1,126.72,paid
TTBF9yOgN5EH,1,credit_card,5,254.19,paid
F9i3hpJUc5HJ,1,credit_card,3,70.61,paid
PzBniksLzOcM,1,wallet,1,517.24,paid
UWss0GYyCTJq,1,credit_card,1,550.83,paid
9fJpRKgzGYmY,1,credit_card,2,463.15,paid
FyxzH1mhMBKM,1,credit_card,1,216.74,paid
91fTReRt3k2s,1,credit_card,1,242.66,paid
4BKIy9ysy6d8,1,credit_card,1,236.77,paid
EztPEldn1Aha,1,credit_card,4,317.31,paid
4WCFUeAivvDG,1,credit_card,8,144.18,paid
3VPXNauA1hA6,1,credit_card,1,121.64,paid
jMFLFVfabNrH,1,credit_card,6,106.43,paid
PhYGGGCiQHKD,1,credit_card,6,184.46,paid
RNy2CkQv9QO4,1,credit_card,2,193.82,paid
RAhrqqxcXgA5,1,wallet,1,168.24,paid
lFLPAbeUgKTV,1,credit_card,8,70.07,paid
P6bxg4N8Cw1J,1,credit_card,2,195.44,paid
YykeWYFjVZYE,1,credit_card,1,93.73,paid
dHuy4so1fO7s,1,credit_card,1,171.04,paid
bIVFvWVIw4jq,1,credit_card,1,53.69,paid
tflNP98YJXRM,1,wallet,1,388.25,paid
iThcgEagJGvM,1,credit_card,1,1200.0,paid
MnaiNSJ6870y,1,credit_card,5,71.34,paid
pvWUa3UvgInr,1,wallet,1,988.87,paid
39TPZFziHhP2,1,debit_card,1,427.77,paid
afDRwL1WXpA1,1,credit_card,2,1692.05,paid
QBEax8koxs19,1,wallet,1,721.74,paid
CtAfWF8UkMCP,1,credit_card,1,451.75,paid
V4JFkZwCu5hF,1,credit_card,5,137.22,paid
qwPG85b508Td,1,credit_card,4,336.32,paid
pLnMJMmel09E,1,credit_card,2,343.54,paid
7PvMPzzIkey5,1,credit_card,1,125.86,paid
yWHy7JXGvc0Z,1,credit_card,7,114.84,paid
GKjyAxdPwdIc,1,wallet,1,1381.83,paid
SZIajujwn1Oo,1,credit_card,6,474.37,paid
KL9BlcRxTqHu,1,credit_card,10,364.75,paid
PULq31I4UKo4,1,credit_card,1,255.93,paid
Y0bGpsoT1Vhh,1,credit_card,1,245.57,paid
7LgpFGaazYyl,1,credit_card,5,158.71,paid
88cwXsdwdeEH,1,credit_card,1,94.85,paid
r7702612Pdfh,1,wallet,1,195.0,paid
JhSAOXXtYcdN,1,wallet,1,8.32,paid
lq2t00ICp3Em,1,credit_card,1,359.71,paid
6nNyBTWOOOFA,1,credit_card,3,43.6,paid
15IH5WU11wIZ,1,credit_card,3,819.47,paid
ouRLjr6NSysJ,1,wallet,1,95.01,paid
yDLykPwUGtqM,1,wallet,1,449.79,paid
GHfebQ8QpH8l,1,credit_card,1,223.93,paid
7XvMI5cx5mU0,1,credit_card,3,192.45,paid
XDE3dFQJPztt,1,credit_card,10,44.8,paid
dix4hRLqxcfL,1,wallet,1,2033.48,paid
4W3f1ahNdmTs,1,credit_card,1,520.02,paid
xljf54RoX9JP,1,wallet,1,6.57,paid
2rs8IUIAS4rL,1,credit_card,4,125.02,paid
B8V4EaW2eSh0,1,credit_card,3,101.01,paid
FwheKtHhpBN2,1,credit_card,2,56.11,paid
tPTCcbVjRfc3,1,credit_card,1,96.77,paid
TGt9bWN79Nqz,1,credit_card,1,65.21,paid
qJjvfYu6Y4fm,1,credit_card,1,232.27,paid
JT0oXIkh4Gzh,1,voucher,1,123.97,paid
yr2H21aRoD3h,1,credit_card,1,193.73,paid
3kStl9hl8CfT,1,credit_card,9,144.17,paid
HG9ftAgQxhF4,1,credit_card,4,61.31,paid
sm0ZEnWNt7qQ,1,credit_card,1,91.3,paid
KuKfiKKJLTwK,1,credit_card,4,470.5,paid
0JDo7VjW8fwo,1,credit_card,1,1028.3,paid
07amSeyheu9N,1,credit_card,1,55.01,paid
0HR2Bu3Sp4gp,1,credit_card,4,414.46,paid
3BfkNOSXE9fK,1,credit_card,2,16.78,paid
5WmmehR17vqk,2,voucher,1,131.31,paid
GRirh1b2z6Y3,1,wallet,1,42.91,paid
67qinzyPqskj,1,credit_card,1,15.58,paid
SSIHiYAn9TpY,1,credit_card,6,134.88,paid
r6X1vpADLMvm,1,credit_card,5,228.57,paid
FEIP98BAAYWW,1,credit_card,5,353.92,paid
qlbb5qUbmXnJ,4,voucher,1,85.24,paid
7ERc3mX6MCjK,1,wallet,1,191.11,paid
Qnw2wAOmQylg,1,wallet,1,343.55,paid
vU3xyuXEj2Ba,1,credit_card,4,63.99,paid
Bie3bBbWriRw,1,credit_card,1,184.06,paid
XQYgG1JMLACG,1,credit_card,1,135.13,paid
qZUh5hge1625,1,credit_card,5,22.27,paid
hlpMgRkYTHdL,1,credit_card,4,43.98,paid
KwUxouAIwmnW,1,credit_card,8,99.75,paid
Fl1jNEVLIouI,1,credit_card,5,216.27,paid
CbQkhuNUU3S3,1,wallet,1,228.67,paid
tVdaOadCApSM,1,credit_card,2,312.62,paid
G07cmuGKW2nd,1,credit_card,18,96.15,paid
2Tdr9eDhdtIu,1,credit_card,1,236.29,paid
p6iWM5qft7BH,1,wallet,1,349.89,paid
oJ1LprF3qOBG,1,credit_card,1,25.58,paid
ZJ852hQOuseH,1,credit_card,5,63.83,paid
iHnDLespPUlT,1,credit_card,3,106.74,paid
9LyEELGHWgoP,1,credit_card,3,665.87,paid
y8qmpWJzBTA5,1,credit_card,1,294.3,paid
MsJrJ9vfOmvF,1,wallet,1,147.23,paid
ItgUvaUVS9ws,1,credit_card,2,747.25,paid
2YWdoyxm7ge9,1,credit_card,9,345.29,paid
JDsexkka1RtD,1,credit_card,1,150.39,paid
Hoy9CyALWGZJ,1,credit_card,1,313.54,paid
i3YWWZIz8fk7,1,wallet,1,203.52,paid
RM4M9i8Yn5x4,1,wallet,1,43.74,paid
1oVrUY75oStu,1,credit_card,1,137.93,paid
YuEmUNymzcGv,1,credit_card,4,1221.39,paid
kF1ka6uV5YnM,1,credit_card,2,689.66,paid
jkbVqP4aWneg,1,credit_card,4,554.49,paid
dxOwaxOE1nT0,1,credit_card,1,433.34,paid
qwLvLVlwqlcq,1,credit_card,3,579.0,paid
ulZ0mI7peyf7,1,credit_card,2,29.17,paid
lUA0GIMIbFvS,1,credit_card,1,10.02,paid
b2u1yVa2LdNK,1,credit_card,4,208.44,paid
na3M0MEGCGf8,1,credit_card,1,198.78,paid
vbRiAK2RZdlx,1,wallet,1,129.18,paid
QHnQzNJRBS8w,1,credit_card,8,74.21,paid
ZHsymoudGwgy,1,credit_card,8,39.67,paid
7PK4NRV2nhjw,1,credit_card,2,927.87,paid
Ss9iY5xxCC5S,1,credit_card,1,128.93,paid
FhbdaS77ToDk,9,voucher,1,13.48,paid
ZgJAIFrZP7wi,1,credit_card,4,329.02,paid
DYDQgIcAmOCk,1,wallet,1,93.13,paid
zhV4YwJcMaf6,1,credit_card,7,413.72,paid
KWuqSsip5IPL,1,wallet,1,124.92,paid
u6wIOFvJPMJx,1,wallet,1,125.51,paid
wILgQcnuMP8h,1,wallet,1,205.18,paid
cHueggO8i50e,1,credit_card,3,168.18,paid
gwGItwZIp6b9,1,credit_card,1,100.17,paid
52dDBTqijGgS,1,wallet,1,804.72,paid
QfmncxTUYMeM,1,credit_card,6,201.3,paid
t4Bk5mYUoL8U,1,credit_card,2,158.58,paid
RAwGupGDXwd5,1,credit_card,1,157.5,paid
YTg0u33hKRJZ,1,credit_card,2,227.58,paid
4lSWIJZYPkdj,1,credit_card,3,236.58,paid
XVYh21794I2q,1,credit_card,1,479.17,paid
T02ERQXo0cHk,1,wallet,1,242.44,paid
MoHhpMorkOQe,1,wallet,1,99.4,paid
xvCjkl7oHF4p,1,credit_card,4,316.01,paid
NbPquApcLFZJ,1,credit_card,1,257.29,paid
bOw1sP6xIXEv,1,credit_card,1,149.33,paid
V5N9aEmfprUb,1,credit_card,9,37.79,paid
xhdUS3Lb7QvK,1,wallet,1,132.42,paid
