product_id,category,sub_category,stock_quantity
90K0C1fIyQUf,toys,misc,13
qejhpMGGVcsl,watches,gifts,3
qUS5d2pEAyxJ,costruction,tools garden,5
639iGvMyv0De,toys,misc,6
1lycYGcsic2F,toys,misc,13
TpFZIk33uyGn,toys,misc,13
Y0T4Ca4BXK8U,bed,bath table,10
IUykT5z5LcPW,toys,misc,1
0UHKKyYmxWfq,toys,misc,5
MJ82dNJNiV7U,toys,misc,3
wdV7yJzaz3Su,toys,misc,147
V3ksL8RRt2uO,toys,misc,4
vndXhZ66Bwpl,toys,misc,4
2RxPIb6Sjlm1,toys,misc,3
DXG0TFaZjGHO,toys,misc,80
YCMS6jUWbEbe,toys,misc,1
CBuRjOln99hg,auto,misc,2
tfgKHMdnTKpJ,toys,misc,23
l0Q038BC2u3G,health,beauty,2
V84ooqHQgeH2,toys,misc,1
E9OiMOkPkNam,toys,misc,78
aYw1jx6U0ZzQ,toys,misc,2
kuUbPNBMgk7o,toys,misc,9
SESkOgF0nWnh,cool,stuff,97
06Zem5ml9euJ,toys,misc,34
ro08JPncYzLh,garden,tools,290
lkPBqpnGNyKe,toys,misc,3
saFIRNuu8V6H,toys,misc,3
uicu7Mpz6xlZ,toys,misc,13
uCnShK796Rpb,toys,misc,15
tRV6VjdwdLAm,toys,misc,1
Hwaj6cncrjwO,toys,misc,6
YgnBaIterOVh,toys,misc,7
SLTlrWtcYt1m,toys,misc,321
yZJweQSasMAW,toys,misc,13
kgF2KLJ8Ao3M,toys,misc,22
8kUYWjdaVCxf,toys,misc,42
QzAC1fDWMbmk,toys,misc,44
R2u3pJSgF7Gr,toys,misc,55
lSVmLWTOmgtw,toys,misc,2
bDhxHlkU0GeF,toys,misc,2
MeFPAUcWfyAo,toys,misc,1
Mh5csf65CB6I,toys,misc,10
hfEa3c65LTA2,toys,misc,132
Pb29t2XBfP6Q,furniture,decor,40
th6S1t44GAij,toys,misc,1
fUSMr8Wo77AI,toys,misc,1
qI5i1mUxo5tX,fashion,shoes,1
AQRgJU930yvK,toys,misc,1
VCOwCoc0C3aj,toys,misc,1
f21OMkeWX2ZC,toys,misc,2
mKDM0qdFnNNd,toys,misc,10
aZ1aneUqyncU,toys,misc,12
ch26pynh9FL6,sports,leisure,15
eTlPil30tvIn,toys,misc,19
DXG0TFaZjGHO,toys,misc,80
htOWZMHmysDe,toys,misc,5
GJ4e2xEfaCmh,auto,misc,19
EZlH1lJVfFqj,sports,leisure,3
zTW2bowvLdj9,toys,misc,1
VO111AOA1QIP,baby,misc,16
mfq8n5MEY4eP,toys,misc,4
TdryLJINHQ9O,toys,misc,56
B2udqVNGe7sU,toys,misc,1
IsLB3oNMsX7k,furniture,decor,4
7IfEqKdKlG9j,toys,misc,2
YG7qG1MQlhjp,toys,misc,29
nS95HUh6SK36,bed,bath table,1
cT3PvVNqyIpQ,bed,bath table,2
hoBYqNvOyd5V,housewares,misc,2
2oRZ0O0Cvxg1,toys,misc,7
UjLE7WsWfgrO,construction,tools construction,3
nvbYOXncMsv0,toys,misc,1
5WcLgWtO04vH,toys,misc,8
jyqvHPkDKFDV,toys,misc,21
4BAZNq7FQZOV,toys,misc,14
G16XPtJuiBOe,toys,misc,6
tfJojxEnA32p,toys,misc,3
5hqQbR7p5r2D,toys,misc,2
97fSQlZJl4P8,toys,misc,3
mwlDII1pL31s,toys,misc,11
N9wgqW59QGza,toys,misc,1
n3QjhUa3JbkT,toys,misc,3
fJOMyLSpholI,toys,misc,45
DMB6KqQisnZE,toys,misc,8
0vbEvli2JYJu,toys,misc,405
xl7fxh09W8xU,toys,misc,64
bumRSmIPLuYa,toys,misc,2
Hh61P9XhdxJT,furniture,decor,31
jcZ2MOqKsGsh,toys,misc,8
OEoHcaKHbdiB,toys,misc,2
Ggd3U51peXoq,electronics,misc,52
etUc3o0rjL6e,toys,misc,1
lFGT2p3CDtxY,toys,misc,14
daiqbsoofbQ7,toys,misc,1
dAz11YkQkoue,health,beauty,227
KocIrz6J906g,toys,misc,1
xj8TsBOfCz2Q,toys,misc,6
LEtlZnZPgiXx,toys,misc,2
dtkkSAYxncfA,toys,misc,1
WLCpnwy0jsjj,furniture,decor,11
qjquOwfUstem,toys,misc,11
gdZxFB7RkmeM,toys,misc,2
RO8Eso0VLlkB,bed,bath table,4
GvBzGCvvIC2D,toys,misc,176
